9,440,"83,940",190.77,27.28
10.5,440,"83,500",189.77,31.83
13.2,440,"83,060",188.77,40.01
13.5,440,"82,620",187.77,40.92
14,1320,"82,180",186.77,42.44
14.1,440,"80,860",183.77,42.74
15,500,"80,420",182.77,45.47
15.1,440,"79,920",181.64,45.77
15.25,880,"79,480",180.64,46.23
15.39,140,"78,600",178.64,46.65
15.5,2200,"78,460",178.32,46.98
15.51,220,"76,260",173.32,47.01
15.6,440,"76,040",172.82,47.29
15.8,840,"75,600",171.82,47.89
15.86,220,"74,760",169.91,48.08
16,5160,"74,540",169.41,48.5
16.1,440,"69,380",157.68,48.8
16.48,440,"68,940",156.68,49.95
16.72,880,"68,500",155.68,50.68
16.8,440,"67,620",153.68,50.92
16.83,150,"67,180",152.68,51.02
17,1520,"67,030",152.34,51.53
17.1,100,"65,510",148.89,51.83
17.18,440,"65,410",148.66,52.08
17.2,440,"64,970",147.66,52.14
17.5,1160,"64,530",146.66,53.05
17.6,3140,"63,370",144.02,53.35
17.63,220,"60,230",136.89,53.44
17.8,780,"60,010",136.39,53.96
18,8360,"59,230",134.61,54.56
18.01,200,"50,870",115.61,54.59
18.16,150,"50,670",115.16,55.05
18.18,440,"50,520",114.82,55.11
18.3,1760,"50,080",113.82,55.47
18.4,800,"48,320",109.82,55.77
18.48,440,"47,520",108,56.02
18.5,540,"47,080",107,56.08
18.8,1320,"46,540",105.77,56.99
18.84,4220,"45,220",102.77,57.11
18.9,440,"41,000",93.18,57.29
19,2710,"40,560",92.18,57.59
19.2,440,"37,850",86.02,58.2
19.5,440,"37,410",85.02,59.11
19.8,440,"36,970",84.02,60.02
19.98,310,"36,530",83.02,60.56
20,10020,"36,220",82.32,60.62
20.2,640,"26,200",59.55,61.23
20.4,100,"25,560",58.09,61.84
20.6,440,"25,460",57.86,62.44
20.61,1320,"25,020",56.86,62.47
21,3480,"23,700",53.86,63.66
21.35,440,"20,220",45.95,64.72
21.5,2600,"19,780",44.95,65.17
21.6,880,"17,180",39.05,65.47
22,1400,"16,300",37.05,66.69
22.08,880,"14,900",33.86,66.93
22.2,440,"14,020",31.86,67.29
22.5,880,"13,580",30.86,68.2
22.6,440,"12,700",28.86,68.51
22.7,440,"12,260",27.86,68.81
22.8,440,"11,820",26.86,69.11
22.88,440,"11,380",25.86,69.35
22.9,440,"10,940",24.86,69.41
23,2230,"10,500",23.86,69.72
24,3510,"8,270",18.8,72.75
25,3000,"4,760",10.82,75.78
26,880,"1,760",4,78.81
28,880,880,2,84.87
